Note,Category
biryani,Food
pizza,Food
burger,Food
lunch,Food
dinner,Food
breakfast,Food
snacks,Food
shawarma,Food
parotta,Food
fried rice,Food
coffee,Food
tea,Food
ice cream,Food
juice,Food
restaurant bill,Food
food delivery,Food
swiggy order,Food
zomato order,Food
street food,Food
bakery items,Food
cake,Food
noodles,Food
sandwich,Food
chai and samosa,Food
buffet dinner,Food
fruits,Food
grocery snacks,Food
milkshake,Food
donuts,Food
chocolate,Food
canteen food,Food
mess bill,Food
food court,Food
chinese food,Food
south indian meal,Food
north indian thali,Food
momos,Food
rolls,Food
chaat,Food
cold drink,Food
metro ticket,Transport
bus ticket,Transport
auto fare,Transport
cab ride,Transport
uber ride,Transport
ola ride,Transport
petrol,Transport
diesel,Transport
fuel refill,Transport
train ticket,Transport
flight ticket,Transport
parking fee,Transport
toll fee,Transport
bike service,Transport
car service,Transport
vehicle repair,Transport
rickshaw fare,Transport
railway pass,Transport
monthly bus pass,Transport
app cab booking,Transport
airport taxi,Transport
fuel top up,Transport
bike rental,Transport
car rental,Transport
ferry ticket,Transport
shared cab,Transport
highway toll,Transport
vehicle insurance,Transport
helmet purchase,Transport
bike wash,Transport
car wash,Transport
public transport card recharge,Transport
rapido ride,Transport
shuttle service,Transport
tempo travel,Transport
scooter rental,Transport
cycle repair,Transport
commute fare,Transport
travel booking fee,Transport
cab surge fare,Transport
rent,Bills
electricity bill,Bills
water bill,Bills
gas cylinder,Bills
wifi bill,Bills
internet recharge,Bills
mobile bill,Bills
society maintenance,Bills
house maintenance,Bills
broadband bill,Bills
dth recharge,Bills
phone bill payment,Bills
electricity recharge,Bills
water tanker payment,Bills
maintenance charges,Bills
landlord payment,Bills
utility bill,Bills
gas bill,Bills
cable tv bill,Bills
postpaid bill,Bills
prepaid recharge,Bills
housing society fee,Bills
property tax,Bills
home loan emi,Bills
apartment rent,Bills
flat rent,Bills
broadband recharge,Bills
electric meter recharge,Bills
piped gas bill,Bills
garbage collection fee,Bills
security deposit,Bills
maintenance fee,Bills
monthly rent payment,Bills
cooking gas booking,Bills
sewage bill,Bills
municipal tax,Bills
house rent advance,Bills
utility recharge,Bills
rent payment,Bills
common area maintenance,Bills
movie,Entertainment
movie ticket,Entertainment
concert ticket,Entertainment
party,Entertainment
club entry,Entertainment
outing,Entertainment
picnic,Entertainment
bowling,Entertainment
gaming zone,Entertainment
amusement park,Entertainment
night out,Entertainment
bar bill,Entertainment
pub visit,Entertainment
get together,Entertainment
festival celebration,Entertainment
trip with friends,Entertainment
karaoke night,Entertainment
sports match ticket,Entertainment
arcade games,Entertainment
friends hangout,Entertainment
cricket match tickets,Entertainment
theatre play,Entertainment
stand up comedy show,Entertainment
reunion dinner,Entertainment
farewell party,Entertainment
new year party,Entertainment
diwali celebration,Entertainment
team outing,Entertainment
friends trip,Entertainment
cafe hangout,Entertainment
clubbing,Entertainment
date night,Entertainment
celebration dinner,Entertainment
netflix subscription,Entertainment
spotify subscription,Entertainment
video game purchase,Entertainment
