date,description,amount,category
2026-06-02,rent payment,8000,Bills
2026-06-04,groceries,3200,
2026-06-07,uber ride to office,280,
2026-06-11,electricity bill,1450,
2026-06-14,lunch with friends,650,
2026-06-18,movie tickets,500,
2026-06-22,pharmacy bill,340,
2026-06-26,metro card recharge,300,Transport
2026-07-02,rent payment,8000,Bills
2026-07-04,groceries,3200,
2026-07-07,uber ride to office,280,
2026-07-11,electricity bill,1450,
2026-07-14,lunch with friends,650,
2026-07-18,movie tickets,500,
2026-07-22,pharmacy bill,340,
2026-07-26,metro card recharge,300,Transport
2026-08-02,rent payment,8000,Bills
2026-08-04,groceries,3200,
2026-08-07,uber ride to office,280,
2026-08-11,electricity bill,1450,
2026-08-14,lunch with friends,650,
2026-08-18,movie tickets,500,
2026-08-22,pharmacy bill,340,
2026-08-26,metro card recharge,300,Transport
2026-09-02,rent payment,8000,Bills
2026-09-04,pizza delivery,420,
2026-09-06,doctor consultation,700,
2026-09-08,new running shoes,2800,
2026-09-10,college fees,5000,
2026-09-12,coffee and snacks,180,
